controller,sim_time_s,x_m,y_m,goal_distance_m,selection,executed_v_mps,executed_w_radps
isaac_only,15.500000000000316,-0.6232532858848572,-2.2107181549072266,3.0799055897948318,isaac_only,0.06499313452345715,-0.029068825288406912
isaac_only,15.700000000000305,-0.6235260963439941,-2.1990134716033936,3.0683046343034976,isaac_only,0.0649954236182423,-0.023732964311336313
isaac_only,15.900000000000293,-0.6237618923187256,-2.187291383743286,3.0566830369489995,isaac_only,0.06499587463463365,-0.022533145513313466
isaac_only,16.100000000000282,-0.6239618062973022,-2.1755549907684326,3.0450439613173197,isaac_only,0.06499729193615046,-0.01825657362367427
isaac_only,16.30000000000027,-0.6241360902786255,-2.1638529300689697,3.033436851611975,isaac_only,0.06499799936196923,-0.015691833422544835
isaac_only,16.50000000000026,-0.6242882609367371,-2.1521143913269043,3.0217917243302774,isaac_only,0.06499819207656207,-0.014916926138263452
isaac_only,16.700000000000248,-0.6244181394577026,-2.1404123306274414,3.0101810181376387,isaac_only,0.06499876890942591,-0.01230931834757223
isaac_only,16.900000000000237,-0.6245289444923401,-2.1287014484405518,2.9985600731909385,isaac_only,0.0649989178549984,-0.011540686577520857
isaac_only,17.100000000000225,-0.6246263384819031,-2.116956949234009,2.986904895001416,isaac_only,0.06499917232675943,-0.010092952588338772
isaac_only,17.300000000000214,-0.6247090101242065,-2.1052443981170654,2.975280449682535,isaac_only,0.06499923822766826,-0.009682808363677867
isaac_only,17.500000000000203,-0.6247820854187012,-2.093520402908325,2.963644217642067,isaac_only,0.06499942011033526,-0.008448144280400968
isaac_only,17.70000000000019,-0.62484210729599,-2.0818049907684326,2.9520156813369116,isaac_only,0.06499957536527157,-0.00722930098351976
isaac_only,17.90000000000018,-0.6248900294303894,-2.070093870162964,2.9403906786282348,isaac_only,0.06499972800881043,-0.005785832875551238
isaac_only,18.10000000000017,-0.6249298453330994,-2.0583672523498535,2.9287500188207516,isaac_only,0.06499975281698017,-0.005515663586608722
isaac_only,18.300000000000157,-0.6249681711196899,-2.0467283725738525,2.9171969943012117,isaac_only,0.06499967233219892,-0.006350462867551986
isaac_only,18.500000000000146,-0.6250092387199402,-2.0350868701934814,2.9056423770596633,isaac_only,0.0649995863923294,-0.007134816987496442
isaac_only,18.700000000000134,-0.6250500082969666,-2.0234484672546387,2.8940914985870383,isaac_only,0.06499952492184718,-0.007646648187067984
isaac_only,18.900000000000123,-0.625091016292572,-2.0117971897125244,2.882528571336691,isaac_only,0.06419753144440696,-0.3145937907109483
isaac_only,19.10000000000011,-0.6248417496681213,-2.00028395652771,2.8710685232424233,isaac_only,0.06451833085695857,-0.2436302889904169
isaac_only,19.3000000000001,-0.6241208910942078,-1.988818645477295,2.8595997079306423,isaac_only,0.06470696863437138,-0.18998034018854165
isaac_only,19.50000000000009,-0.6230301856994629,-1.9773019552230835,2.848035472796868,isaac_only,0.06493412840707637,-0.09004800206622936
isaac_only,19.700000000000077,-0.6217243671417236,-1.9657087326049805,2.836369371214962,isaac_only,0.06495738134727205,-0.07242890272982368
isaac_only,19.900000000000066,-0.6202938556671143,-1.9540929794311523,2.824665882100017,isaac_only,0.06417629333854839,-0.3187383377013733
isaac_only,20.100000000000055,-0.6185561418533325,-1.9428093433380127,2.813255105642344,isaac_only,0.06450970195707083,-0.2458055957255397
isaac_only,20.300000000000043,-0.6163343191146851,-1.9314987659454346,2.801759475609981,isaac_only,0.06378299246446668,-0.3876277870409631
isaac_only,20.500000000000032,-0.613645613193512,-1.9204515218734741,2.7904696791497883,isaac_only,0.06426519709771933,-0.30101194262753195
isaac_only,20.70000000000002,-0.6103673577308655,-1.9093173742294312,2.7790241025904177,isaac_only,0.06385361300949083,-0.3761787923368004
isaac_only,20.90000000000001,-0.6066170930862427,-1.8986088037490845,2.767946726644695,isaac_only,0.06433541342334154,-0.28624296843109354
isaac_only,21.099999999999998,-0.6023228168487549,-1.8880113363265991,2.7569182207882568,isaac_only,0.06462238038925792,-0.21568803981661946
isaac_only,21.299999999999986,-0.5975806713104248,-1.8774124383926392,2.7458397789909124,isaac_only,0.0643926178459526,-0.27362646053365225
isaac_only,21.499999999999975,-0.592540979385376,-1.867091178894043,2.7350075572508006,isaac_only,0.0646330398839728,-0.21261910128715936
isaac_only,21.699999999999964,-0.587100088596344,-1.8568776845932007,2.724242511922265,isaac_only,0.06454035500232082,-0.23798842855862212
isaac_only,21.899999999999952,-0.5813568830490112,-1.8468871116638184,2.7136720627259714,isaac_only,0.06473107458676151,-0.18199274922167968
isaac_only,22.09999999999994,-0.5752041935920715,-1.8368785381317139,2.7030467614503384,isaac_only,0.06499868231895348,0.012734860688129483
isaac_only,22.29999999999993,-0.5689886808395386,-1.826964020729065,2.692517562789758,isaac_only,0.06499917680588507,0.010065605427120499
isaac_only,22.49999999999992,-0.5627835988998413,-1.8170241117477417,2.681973932843229,isaac_only,0.06499951489727895,0.007726902649049004
isaac_only,22.699999999999907,-0.5565802454948425,-1.8070608377456665,2.6714170261641463,isaac_only,0.06480523507759611,0.15486461194263576
isaac_only,22.899999999999896,-0.5505005121231079,-1.7970234155654907,2.6608088036555464,isaac_only,0.06487652018047892,0.1232977309126886
isaac_only,23.099999999999884,-0.544624388217926,-1.7868986129760742,2.6501434606365852,isaac_only,0.06458709503124485,0.22555036714259805
isaac_only,23.299999999999873,-0.5390046834945679,-1.7766369581222534,2.639375898928731,isaac_only,0.06474439105318007,0.177426613477163
isaac_only,23.49999999999986,-0.5336694717407227,-1.7662339210510254,2.628503020837382,isaac_only,0.06484114267170865,0.1398557838707905
isaac_only,23.69999999999985,-0.5285646915435791,-1.7557330131530762,2.617561640481073,isaac_only,0.06458266887462275,0.2267573339782427
isaac_only,23.89999999999984,-0.5237634778022766,-1.7451698780059814,2.606593050098124,isaac_only,0.06473797531051537,0.17964098295558725
isaac_only,24.099999999999827,-0.519225537776947,-1.734420895576477,2.595469172118403,isaac_only,0.06453929342351009,0.2382634197455172
isaac_only,24.299999999999816,-0.5150312781333923,-1.723677158355713,2.5843865456125084,isaac_only,0.06470408612346583,0.19091316599073158
isaac_only,24.499999999999805,-0.5111134648323059,-1.7127302885055542,2.573130382481726,isaac_only,0.06480807312482746,0.15373159455225266
isaac_only,24.699999999999793,-0.5074135065078735,-1.7015888690948486,2.56170307799927,isaac_only,0.06466688205763133,0.20256899727163213
isaac_only,24.899999999999782,-0.5040153861045837,-1.6904489994049072,2.550306650540084,isaac_only,0.06478761457463894,0.1617219595679981
isaac_only,25.09999999999977,-0.5008841156959534,-1.6791993379592896,2.538826320113389,isaac_only,0.06469786322134415,0.19291166173332583
isaac_only,25.29999999999976,-0.49802443385124207,-1.667884349822998,2.5273061256681464,isaac_only,0.06481085910137643,0.1526111998270561
isaac_only,25.499999999999748,-0.4954475462436676,-1.65658700466156,2.5158290993468992,isaac_only,0.06475617974016108,0.17328423749559488
isaac_only,25.699999999999736,-0.49316108226776123,-1.645281434059143,2.5043695977538576,isaac_only,0.06486395624277466,0.12942059752538057
isaac_only,25.899999999999725,-0.4911591112613678,-1.634093165397644,2.4930517492912134,isaac_only,0.06484272355181704,0.13915786916601616
isaac_only,26.099999999999714,-0.48939529061317444,-1.6231456995010376,2.4819943671756093,isaac_only,0.06490028229484518,0.11079750736097697
isaac_only,26.299999999999702,-0.4877910315990448,-1.61204195022583,2.470794948490223,isaac_only,0.06488702699547767,0.11793387721408184
isaac_only,26.49999999999969,-0.4863779544830322,-1.6010990142822266,2.459771989008718,isaac_only,0.06493023812354425,0.09266937676652001
isaac_only,26.69999999999968,-0.48507586121559143,-1.589612603187561,2.4482168536477533,isaac_only,0.06495881923047257,0.0711964723502609
isaac_only,26.899999999999668,-0.4838903546333313,-1.5780012607574463,2.4365470237514923,isaac_only,0.06494885094635695,0.07934792969783787
isaac_only,27.099999999999657,-0.4828217327594757,-1.5662904977798462,2.4247879133938155,isaac_only,0.06496807118009429,0.06268989291264046
isaac_only,27.299999999999645,-0.4818701148033142,-1.5546000003814697,2.41305878608153,isaac_only,0.06496472837196893,0.065890182260469
isaac_only,27.499999999999634,-0.4810243248939514,-1.542863368988037,2.4012925439945563,isaac_only,0.06497807798363278,0.05194464357802524
isaac_only,27.699999999999623,-0.4802744686603546,-1.5311229228973389,2.389530547355349,isaac_only,0.06497684856170591,0.05338142892937523
isaac_only,27.89999999999961,-0.47962063550949097,-1.5194045305252075,2.377798609511452,isaac_only,0.06498614748828166,0.041291464981053516
isaac_only,28.0999999999996,-0.4790438413619995,-1.507659673690796,2.366046827037016,isaac_only,0.06498595269368737,0.04158078299922436
isaac_only,28.29999999999959,-0.47853970527648926,-1.4959099292755127,2.3542963727714312,isaac_only,0.06499135996416462,0.03261000743609281
isaac_only,28.499999999999577,-0.4780963957309723,-1.4841248989105225,2.342516003299798,isaac_only,0.06499152343858391,0.03230002745154042
isaac_only,28.699999999999566,-0.47770947217941284,-1.4723715782165527,2.330772143024175,isaac_only,0.0649949535439213,0.02492208505742757
isaac_only,28.899999999999554,-0.4773719608783722,-1.4605969190597534,2.3190113870590197,isaac_only,0.06499512275046425,0.024500701480001663
isaac_only,29.099999999999543,-0.4770777225494385,-1.4488208293914795,2.3072530928290904,isaac_only,0.06499707776201553,0.018964776681041046
isaac_only,29.29999999999953,-0.4768218994140625,-1.4370465278625488,2.2955000938133505,isaac_only,0.06499721571684612,0.018511711159333484
isaac_only,29.49999999999952,-0.4765990376472473,-1.4252593517303467,2.2837373533837515,isaac_only,0.06499838064892986,0.014117562631293447
isaac_only,29.69999999999951,-0.47640520334243774,-1.4134575128555298,2.271962789396456,isaac_only,0.06499901647745937,0.011002237651790729
isaac_only,29.899999999999498,-0.4762318730354309,-1.4016368389129639,2.2601715426809883,isaac_only,0.06499892238928442,0.011516482866606927
isaac_only,30.099999999999486,-0.47608017921447754,-1.3898409605026245,2.2484072062298015,isaac_only,0.06499934516641406,0.00897747393249136
isaac_only,30.299999999999475,-0.4759463667869568,-1.378077507019043,2.236677079048561,isaac_only,0.06499935439733674,0.008913973348695349
isaac_only,30.499999999999464,-0.47583094239234924,-1.3662855625152588,2.2249205497302267,isaac_only,0.06499964422088861,0.006617268188034352
isaac_only,30.699999999999456,-0.4757308065891266,-1.3545233011245728,2.2131953221189526,isaac_only,0.06499964806113263,0.006581458196736812
isaac_only,30.899999999999444,-0.4756444990634918,-1.3427997827529907,2.2015103127751567,isaac_only,0.06499982180158628,0.004683174402001952
isaac_only,31.099999999999433,-0.4755711555480957,-1.331014633178711,2.1897654913305407,isaac_only,0.06499985409145334,0.004237685888856505
isaac_only,31.29999999999942,-0.47550880908966064,-1.3191968202590942,2.1779895636696294,isaac_only,0.06499993328196882,0.002865563015584493
isaac_only,31.49999999999941,-0.4754541516304016,-1.3073580265045166,2.166193892502013,isaac_only,0.06499995271610456,0.002412375813910859
isaac_only,31.6999999999994,-0.47540903091430664,-1.295543909072876,2.1544241353834175,isaac_only,0.06499998054057216,0.0015475808940893154
isaac_only,31.899999999999388,-0.475372314453125,-1.2837647199630737,2.1426904166056904,isaac_only,0.06499998553414671,0.0013343210930252837
isaac_only,32.099999999999376,-0.4753398895263672,-1.2720363140106201,2.1310081629172504,isaac_only,0.06499999890507381,0.00036709691720198686
isaac_only,32.299999999999365,-0.4753137528896332,-1.260361671447754,2.119380533642694,isaac_only,0.06499999999453024,-2.5946116474099525e-05
isaac_only,32.49999999999935,-0.47529464960098267,-1.2486722469329834,2.1077393577502668,isaac_only,0.06499999558748129,-0.0007369390969474773
isaac_only,32.69999999999934,-0.47527894377708435,-1.236983060836792,2.0960992729597514,isaac_only,0.06499999636622249,-0.0006687556801040012
